Tue 04:11:34 PM ET | last publish Tue 04:11:20 PM | age 14s | $331.620 ±0.120
Tue 04:16:35 PM ET | last publish Tue 04:16:24 PM | age 11s | $331.670 ±0.070
Tue 04:21:35 PM ET | last publish Tue 04:21:22 PM | age 13s | $331.620 ±0.060
Tue 04:26:36 PM ET | last publish Tue 04:26:31 PM | age 5s | $331.585 ±0.065
Tue 04:31:37 PM ET | last publish Tue 04:31:27 PM | age 10s | $331.575 ±0.045
Tue 04:36:38 PM ET | last publish Tue 04:36:27 PM | age 11s | $331.620 ±0.070
Tue 04:41:39 PM ET | last publish Tue 04:41:33 PM | age 6s | $331.630 ±0.080
Tue 04:46:40 PM ET | last publish Tue 04:46:27 PM | age 13s | $331.640 ±0.050
Tue 04:51:40 PM ET | last publish Tue 04:51:34 PM | age 6s | $331.755 ±0.061
Tue 04:56:41 PM ET | last publish Tue 04:56:28 PM | age 13s | $331.725 ±0.055
Tue 05:01:42 PM ET | last publish Tue 05:01:38 PM | age 4s | $331.720 ±0.040
Tue 05:06:42 PM ET | last publish Tue 05:06:38 PM | age 4s | $331.680 ±0.040
Tue 05:11:42 PM ET | last publish Tue 05:11:33 PM | age 9s | $331.710 ±0.050
Tue 05:16:43 PM ET | last publish Tue 05:16:34 PM | age 9s | $331.710 ±0.068
Tue 05:21:44 PM ET | last publish Tue 05:21:34 PM | age 10s | $331.580 ±0.129
Tue 05:26:44 PM ET | last publish Tue 05:26:33 PM | age 11s | $331.625 ±0.075
Tue 05:31:45 PM ET | last publish Tue 05:31:33 PM | age 12s | $331.625 ±0.025
Tue 05:36:45 PM ET | last publish Tue 05:36:35 PM | age 10s | $331.625 ±0.025
Tue 05:41:46 PM ET | last publish Tue 05:41:33 PM | age 13s | $331.600 ±0.050
Tue 05:46:47 PM ET | last publish Tue 05:46:37 PM | age 10s | $331.600 ±0.050
Tue 05:51:47 PM ET | last publish Tue 05:51:35 PM | age 12s | $331.600 ±0.050
Tue 05:56:48 PM ET | last publish Tue 05:56:35 PM | age 13s | $331.640 ±0.015
