auction	rent_returned_sol	closed_by	signature
Hw4DbtMajT4iTP1WTB6JrddrUffZRK4WCNzZYU9L79m	0.018328640	recovery run	5YdN7KdXG3XEeWR38sV6VWvKWwG5tf6V5aHnsbGsncabU4FxdWTBafhcZA5ijXL8R2HfKRmjY3oCsspsChFUqsW3
Ktbu8Tsahaypkw4LCcbT5b791THCH3H8xhtnCw2hAWb	0.018328640	recovery run	B1rqPp2XHbkeCDDRdSKeb7pxYEi5WGEYoGerJLyCLfFpdiaRpQohkAN4ymBtcRaHPMa72qCtWRsxeKFs5aqvT7Z
Q3WUSH97mkbUSdbAwF4R19PioorQyfbMhRGarcFtXQU	0.018328640	recovery run	3e9A4WrzCmCQyBhaMagRodWKHxoaENgqsddozRosdaETRQuMPaW3X9tLvnCbuTxssHvphQjFk7tzP7YjqvTfDVBQ
cPnUeP8W5XqTcikNCnBmnD9yZwdUNCYt1Mdk879Srf6	0.018328640	recovery run	3hsZkNJrwma82kgFzGxMYDzonBfN2FjtwY6wX4XgUsXFEsoP6zK7S1nU5EdM4Q56EG7oxeXFMoRZrVed8LhfJTvS
otivQFagQN7naVMwQasfobXnuD4vY1EE1DBxyu8ioc4	0.018328640	recovery run	4FPFwzLfCerMBuwm2Ge2PyRdXbqsTZYRPZk439UhRGPqPyysj277XFdW1yFuDwE7kmFCCBsJGp4oZppK2MNDUcea
wnBzJ6KxtKsU9KzNYSu4wwCNju8DCugUoih6eep7SeH	0.018328640	recovery run	5nrULSy34SUmXMpnkqEWiv8aWG4W115BwLmKaDhbWy6RMQkqtpRFNFeEwcerST8woeeqgr8ZDtnLEh438KUjyviH
2HPSVpJLybLW7V1kd6XN3j7DMDUUSd2XekyvH5RKErhZ	0.018328640	recovery run	4Dm6zPoXSMz94YSaF6E1uUEnqtWdBMMSZfqoaD8QpnB96eEuxZYYhV5ptTkAp39hLX4asaJpTLgmvKSaYrnbs9o
2HnnPmNbhwxBNLDkw4pxUv3xeyXgbCj25FREVrJ3KwfF	0.018328640	recovery run	61jSDTto3o28vEBFXqiNXp5ypVAYgpWttUn3ocm9tcu9vgCaPywo3YsNNHxTe9N6XfKPHLvqxgjoqq5WrN7kLgV8
2J4xRinj4uzvxu8uc5P7hjhtssLBWxHPtmz8LHrDHrrw	0.018328640	recovery run	5EjnTcyfnFqDaygHvgwqbL812RQJhWAbxPSnQck1dt2vrhJaNKMygDUjVj9YEP5usFt7T2wbCKcB74MgjtEcJPw2
2M5FuWyL7QMv13qcj738EKVNPrybrTvJKqE5JMi73yfM	0.018328640	recovery run	588T5XGdDW5nM3SPmgu4KX5EJVx3vGHdcY27ZwgrEshvusTPVDcxsBxDyXUnbR6xJLzjpFccaoN4xzfp77myDTqY
2R6LiTFWbV24PMTvrsj2vmuxSi7y8y6m8RTnyBWPAagd	0.018328640	recovery run	5w1evc6VDJevGSoBdKD2imp1ku2ZvaACNeHVoc66oaWH9qWxoLkgCVc6RMipKeQjWRsR4r4v3pp46EajteQLRwZg
2WFWSXQMFFKmbyz9Vxa2RyuHbp4S1MYKu6FBAYjRTuGc	0.018328640	recovery run	52829pPagdDYUY5iwurJNugBJDGKri4U1e2QwHdbcKsF8XmZymgXvY6kfozLz5BzvNuh3aBBhbu5y5Z28qDkPNm3
2X6Z5BAEKFcbYTk8qGGzwEeUJBtcNVwJvdHgAaYBbXEz	0.018328640	recovery run	U6oogtp67e53HfTstjeDstARY6xwRiVvyMWTVL7HFtbrJzNkGpqNQw21wFG84w733fbtMdCzedDWAueQcsigkuB
2u4jaGm9uNeMBEBMfSmjgyA3Tvtgdo79pa3qY3YQt1hX	0.018328640	recovery run	zYwpkos3yqGzeUqwzrdqZKGYLaXwbFdddpwFrPpXBL7ajqJhKBKStggznyecpvSPs5kQ4q75FRogEFs4ZJLfMXn
3Pk8G8P55FNVm66qUE2YioidFAWsMz7mqLEvSv5LEBcN	0.018328640	recovery run	4ciAUspQLtnmbN7jNffnUKkwK8CqGNHqmrpkWhs8JgwTPQ3QVQ8NQZ75JdTUXnBP6eTtuwfSamyFa61Kot5jvQfE
3UfWRavTqB6eYNqBHGwkG9pCRicvhJ77Bbe4vi8X4GkA	0.018328640	recovery run	5QMgfcGkyXRGAk1VzHjUkymCxKxYimfrqN15PcREYaVkTXZTJ1PNo7AVFshprCWSP2e8XU6kVnd2AgfJq4JcMJTG
3XJ7XZdnoXYjUsDmXqDDTWtgkqwFoRTWoKNXKdZ5Nv2z	0.018328640	railway keeper	5URYQTgKvzeomDGPBEMrL1EimtoV4gRsvCgGCSTsyRhTKe6ugXWUadLaegmC9KVkPCfe3xATTRfvAp5XkuunY1LF
3eSkea5SkQzHiSAtPaKsHPSj5yv9TAavA7iFRgqpbh96	0.018328640	recovery run	2VKpj3xA7ed9fqFuP95DhkQSvA3LLQRs7m6RCJzCgNUYopoo7fBh1gYUtxWrfpN3dXCfvASbYVF8315TReGEs23i
3eVHGUysQLDB6n99bwP2wrwMr7xvzjE32y5xoARhdj9z	0.018328640	recovery run	3zSNXcFtKUFBLwoEujZS4cpXv1y2UmTVDn6M3AdX6U3KQCoT87ASseBFrasTngH4PaQgsy9cGeB87vLYjqK1EcbR
3tigzc5RiMNUg3gMzhahoaziL3H2k9oFrsKMqRLGQ4Uo	0.018328640	recovery run	4pEXKwVh9ugZvam3bmBq5xPXqD8jeEBoAvDEKrkPyZXt2gU5Vu6QbjZbAfJQbtnx8GiNxw9eh8oLxb4Ncw6ZgGta
4CHECdvNPxD3a9QQ54z84eAyWTRthkGnx2BwfRMCkPS5	0.018328640	railway keeper	62Na16GHro8fcqVeK2DGwv6fwNSrETAd63B6fAhkEDVJ96K51BNTrDTTMf8vkdK7s8U594AEzusbqmnQoV2pFLos
4atChcL4xZ1NMgFatB9Dx2jhp9W1MhktW3mdqRZN44Cd	0.018328640	recovery run	4SGmF3hWi91vnMaytHdW1rw916FZNgypiAJoBk7BeVrs9iZAcjYYaWeJvQeKUNPGshBo4wJLjTP1XY8KEBUPB8n3
4iDof9VC2KPrZsvnHfaHR2HbmCbg416SUYoYYakVozEZ	0.018328640	recovery run	2nBh5fKkruoE9ssxwwX8mPeJTR5fhbYFxVxhNuV7XALfWB4JLLnh35yNtvHnQMw5kmdT5dHC36TksSBHWxjhmrUa
4m6xJb3rBwYJn6qGzvYAgLdrHrNMBhEKCCPavWdsL9B8	0.018328640	railway keeper	3eE3ywVKYwG7MS9UqAWjjm3nCFnk2GuxFVEAq7uWNwQriJh6FL6UBmvvJsYmsNbvhxNCiebFtbTyKg2J36M3Gzu1
55EMeBBp1NRcsKDrnDRUfNtpZJKNCY8QNX9Vi8HobSS4	0.018328640	recovery run	4d2Qs4u1VEgoCNB6PvD8yq7QVATRbDHzUGFHQhVdKXyrCXwc8eTG5m5hS2L6fGdxnKfTc7DWjsRqX8553NfWPxv9
55j6bc42h4VCSgFHpvEZqNbKETgz3vY6vGKQkpWsHKZY	0.018328640	recovery run	2BHM2npuYePR4bNBVQDXxYeSRtrY1cKvhqgNuw1U3iweueyGJvZeG7RxJBpHZniCmB4DUQDmqfK6y1zJqeaRCmtp
